N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
87,롯데지주,"35,600",50,+0.14%,200,"37,348","104,909",8.33,"96,529",50.86,-3.03,
88,녹십자,"318,500","6,500",-2.00%,"5,000","37,222","11,687",21.19,"75,395",39.82,7.48,
89,한미약품,"308,000",500,-0.16%,"2,500","37,201","12,078",12.94,"21,830",161.09,1.65,
90,NH투자증권,"13,000",100,+0.78%,"5,000","36,583","281,409",18.27,"643,735",4.87,10.32,
91,현대차2우B,"98,700",300,+0.30%,"5,000","36,011","36,485",61.18,"53,533",7.15,N/A,
92,GS리테일,"34,050",450,+1.34%,"1,000","35,656","104,718",10.93,"319,222",17.50,7.50,
93,메리츠증권,"5,210",60,+1.17%,"1,000","35,518","681,731",14.13,"2,419,536",5.55,13.08,
94,신풍제약,"66,800",500,+0.75%,500,"35,394","52,985",8.81,"953,684",776.74,1.72,
95,일진머티리얼즈,"76,400",500,+0.66%,500,"35,229","46,111",9.67,"197,112",87.61,7.23,
96,GS건설,"40,950",250,+0.61%,"5,000","35,046","85,581",25.87,"457,970",9.85,7.68,
97,한화시스템,"18,550",300,-1.59%,"5,000","35,045","188,919",3.21,"1,294,619",20.12,9.35,
98,호텔신라,"88,200",400,-0.45%,"5,000","34,617","39,248",18.29,"359,682",-26.82,-36.74,
99,메리츠금융지주,"25,750",400,+1.58%,500,"34,508","134,011",8.06,"212,106",6.03,16.06,
100,효성티앤씨,"776,000","42,000",+5.72%,"5,000","33,583","4,328",22.83,"73,269",6.64,25.10,
101,한솔케미칼,"295,000","5,500",+1.90%,"5,000","33,439","11,335",41.52,"74,185",23.49,24.50,
102,SK케미칼,"280,000","2,000",+0.72%,"5,000","32,904","11,751",17.55,"224,274",35.57,30.49,
103,한국가스공사,"35,200",50,-0.14%,"5,000","32,494","92,313",6.25,"187,780",12.89,-2.24,
104,KCC,"363,000","31,000",+9.34%,"5,000","32,258","8,886",11.94,"246,288",3.74,12.79,
105,씨에스윈드,"76,000","3,400",+4.68%,500,"32,050","42,171",10.17,"631,779",61.24,8.19,
106,현대오토에버,"115,500","1,000",+0.87%,500,"31,675","27,424",1.49,"60,401",41.67,11.09,
107,두산퓨얼셀,"48,300","1,800",+3.87%,100,"31,633","65,494",11.84,"727,068",805.00,4.18,
108,현대미포조선,"78,200",400,+0.51%,"5,000","31,235","39,942",10.49,"257,611",-17.19,-0.84,
109,한국항공우주,"32,000",150,-0.47%,"5,000","31,192","97,475",13.53,"243,509",405.06,6.39,
110,키움증권,"119,000",500,+0.42%,"5,000","31,190","26,210",23.83,"59,045",3.18,27.63,
111,에스원,"81,300",200,-0.25%,500,"30,893","37,999",53.68,"36,576",21.08,10.48,
112,메리츠화재,"25,350",200,+0.80%,500,"30,578","120,625",10.79,"217,420",6.41,16.91,
113,BGF리테일,"175,500","2,500",+1.45%,"1,000","30,333","17,284",32.86,"31,887",21.62,18.60,
114,롯데쇼핑,"107,000","1,000",+0.94%,"5,000","30,269","28,289",10.38,"51,449",-5.23,-7.70,
115,한화생명,"3,440",75,+2.23%,"5,000","29,877","868,530",7.53,"2,925,937",6.38,1.90,
116,CJ,"102,000","1,500",+1.49%,"5,000","29,761","29,177",17.36,"66,198",69.72,1.89,
